titulo,popularidade,nota_media,generos
Top Gun: Maverick,17.0279,8.168,"Ação, Drama"
Murder Company,17.0134,6.174,"Guerra, Ação"
Coração de Lutador: The Smashing Machine,16.951,8.5,Drama
Ajayante Randam Moshanam,16.9384,7.0,"Ação, Drama, Aventura"
맛있는 섹스 그리고 사랑,16.9351,6.0,"Drama, Romance"
O Clube do Crime das Quintas-Feiras,16.9324,6.686,"Comédia, Mistério, Crime"
É Culpa da Alegria,16.9208,6.2,"Comédia, Romance, Drama"
Alien: O Oitavo Passageiro,16.8893,8.165,"Ficção científica, Terror"
No Amor e Na Música,16.8881,6.3,"Drama, Romance, Música"
Godzilla e Kong: O Novo Império,16.8764,7.084,"Aventura, Ação, Ficção científica"
Destruição Final: O Último Refúgio,16.8742,7.129,"Ficção científica, Ação, Thriller, Aventura"
団鬼六 白獣の槛,16.8596,5.0,Drama
A Saga Crepúsculo: Eclipse,16.8538,6.201,"Romance, Aventura, Fantasia, Drama"
Gladiador 2,16.8439,6.664,"Drama, Aventura, Ação"
Santocielo,16.7534,5.987,"Fantasia, Comédia"
좀비딸,16.7445,6.833,"Drama, Comédia"
Inspetor Zende,16.7221,5.778,"Thriller, Drama, Comédia"
Beethoven: Aventura de Natal,16.7056,5.9,"Comédia, Família, Fantasia"
Duna: Parte Dois,16.7053,8.1,"Ficção científica, Aventura"
Nas Terras Perdidas,16.659,6.418,"Ação, Fantasia, Aventura"
Corações de Ferro,16.6456,7.54,"Drama, Guerra, Ação"
O Protetor,16.6338,7.3,"Thriller, Ação, Crime"
Super Mario Bros. O Filme,16.6135,7.607,"Comédia, Família, Aventura, Animação"
Deadpool,16.6119,7.623,"Aventura, Comédia, Ação"
Academia de Vilões,16.5727,6.95,"Fantasia, Comédia"
A Maré Mudou,16.567,5.8,"Fantasia, Drama, Cinema TV"
Ratatouille,16.4911,7.832,"Família, Animação, Fantasia, Comédia"
Os Suspeitos,16.4789,8.099,"Thriller, Crime, Drama"
Pulp Fiction: Tempo de Violência,16.4625,8.487,"Crime, Drama, Thriller, Comédia"
O Telefone Preto,16.443,7.561,"Thriller, Terror"
After,16.4309,7.116,"Romance, Drama"
Long Distance,16.3624,6.507,"Ação, Comédia, Ficção científica"
Frozen: Uma Aventura Congelante,16.347,7.248,"Família, Aventura, Fantasia, Animação"
Espermageddon,16.3432,6.673,"Comédia, Animação, Fantasia, Aventura"
